Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
S36	0.00867076145531118	0	0	0.244128529229794	0	0.0590330200755237	0.0098012800703684	0	0.0336587322659556	0	0.280316048206807	0	0.0382537332923877	0	0	0	0	0.00088373062567327	0	0	0.00556435511902469	0.319689809659155	0	0.861656894660158	0.538184168260139
S37	0.0491305595348907	0.00681039892582577	0	0.233929849628915	0	0.0198851299542362	0.0586774349831667	0	0.0102597897089832	0	0.230172902950643	0	0.0391559949766951	0	0.000565203240291119	0	0	0.00823282550137048	0.0358440098250983	0	0	0.307335900769884	0	0.881686972960861	0.534774755282581
S38	0.0300607106726287	0.00582902078913341	1.3529043791116e-05	0.12810480332254	0.110302213564847	0.140831819116437	0	0	0.0329149043081519	0	0.237642657142672	0	0.0386991691747813	0	0	0	0	2.69636857674095e-05	0	0	0.00495015556185333	0.270624053617398	0	0.903013954194464	0.512704213016131
S39	0.0169128960073998	0	0.0222660410980255	0.339446949460497	0	0.0675795311394773	0.00880982197983043	0	0.0211331503431738	0	0.267634308040225	0	0.104697798609989	0.00082169808978077	0	0.004831029911002	0	0.00680059312584671	0.00971850415783589	0	0.00469971822755368	0.124647959809363	0	0.847824169137487	0.572343082404374
S40	0.000947926191626951	0.0243231510238029	0	0.11848701627436	0.00124413315805591	0.112931664393026	0	0	0.0145928647077898	0	0.193707098600433	0	0.0469158194176759	0	0	0	0	0.00249982414042596	0.0121111731997494	0	0	0.472239328893053	0	0.912611921353188	0.447534901567812
S41	0.0386746613633873	0	0	0.0844016987070575	0	0	0.00184280518495098	0	0.0027795872201271	0	0.112591008892224	0	0.0352358690673465	0.0166285481339755	0	0	0	0	0.0181485724422949	0	0	0.689697248988636	0	0.936427027087171	0.368553519257536
S42	0.024677510381801	0	0	0.176078295901561	0	0	0.058740014013911	0	0	0.0221027444517569	0.219914711524413	0	0.0064215136439824	0	0	0.0211533155938535	0	0	0.00670050165552973	0	0	0.464211392833192	0	0.900340293087552	0.467234892397279
S43	0.0142771012622233	0.0192316647703143	0	0.309878815008837	0	0.0304481730133594	0	0	0.0702868602439585	0	0.260857778337982	0	0.0752636377423354	0	0	0	0	0	0.00275864162498304	0	0	0.216997327996007	0	0.862497615580307	0.550735343356213
S44	0.0329845279630348	0	0	0.218509597070025	0	0.038392129276268	0	0	0.0522448787922237	0	0.151620880324078	0	0.113561129340394	0	0	0	0	0.00944025240205042	0.00816016926365437	0	0	0.375086435568272	0	0.899836361672656	0.495269490810274
S45	0.0299986140109726	0	0	0.17349730450708	0	0	0.0113412927478905	0	0	0.0579202230234312	0.08601774936143	0	0.0412948141418943	0	0	0	0	0	0.00406748314156223	0	0	0.59586251906574	0	0.934205623073097	0.376805903042261
S46	0.0132324321134998	0	0	0	0.0395061337186947	0	0.00819064054390738	0	0	0.0131132368741146	0.0664893779900976	0	0	0.0259396688835262	0	0.00343165869766474	0	0.00757607998979818	0.030816264969429	0	0	0.791704506219268	0	0.889613050019791	0.505253045644974
S47	0.00305821469401816	0.000570834412882576	0.000480125236579201	0.436193355012592	0	0.0856870826678229	0.0224707776076739	0	0.0151851538895064	0	0.240435031790265	0	0.143053853571185	0	0	0.00891918989591367	0	0	0.0108008473672737	0	0	0.0331455338542869	0	0.820224915082795	0.592745167946655
S48	0.00243584678688818	0.00415728527236827	0.0133241664613957	0.168735467356233	0.00645126335474636	0.0568761953527591	0.000153488487831283	0	0.0400591486075752	0	0.14866730757844	0	0.0512199864649087	0	0	0	0	0.00331900250437229	0.00910283681681505	0	0	0.495498004955667	0	0.919276492797508	0.430964211558376
S49	0	0.00310816841902707	0	0.222195940416183	0	0.0494806292842283	0	0	0.0488478472776522	0	0.263623837105862	0	0.082759572260853	0.0097451984843238	0	0	0	0	0.00677872451450979	0	0	0.313460082237361	0	0.897961221273571	0.495761202441824
S50	0.0270811837889185	0	0	0.188238259507707	0	0	0.0117395647989624	0	0.0275494979039016	0	0.19399494022992	0	0.0428294938205634	0.0236832879705803	0	0	0	0	0.00362181027863606	0	0	0.481261961700811	0	0.914894517587687	0.439289092987346
S51	0.0407224606976326	0.00161986028872167	0	0.247839650143109	0	0.0188627058905743	0.0128079487638869	0	0.0247417636080202	0	0.190313628573795	0	0.0572242187650685	0.00419595309744523	0	0	0	0.00262093380039892	0.000180261232142204	0	0	0.398870615139205	0	0.89589720212882	0.490222567137682
S52	0.0117694119632916	0.0100701269721462	0	0.15975249186966	0	0.0555800027639053	0	0	0.0162547031112379	0	0.210362808751896	0	0.0346772850015768	0	0	0	0	0	0.00803401464443656	0	0	0.49349915492185	0	0.922617617860114	0.421602961169705
S53	0.00231566059658047	0.00395009676984152	0.00212823191698592	0.26942969800195	0	0.0422881088184212	0.0505750958564237	0	0.0391802769815288	0	0.290024484746709	0	0.0614195861127624	0.00679608642966623	0	0	0	0.00214200130133528	0.0112899554102021	0	0	0.218460717057594	0	0.874389380192078	0.534345206336066
S54	0.0255316807250322	8.37200304801613e-06	0	0.224182175978624	0	0.0797370213043523	0.017020001953188	0	0.0451608604327345	0	0.16736206088828	0.0117161078775924	0.0649799575015748	0	0	0	0	0	0.032597268213792	0	0.014713672555747	0.316990820566035	0	0.89138249055184	0.524977318732038
S55	0.013239090787489	0.0174695790053819	0	0.195876842141212	0.0512086603595966	0.139943838177927	0	0	0.0619895654347109	0	0.167011001637743	0.00225501112616666	0.0833326252148412	0	0	0	0	0.00437375404015624	0.00462223865173039	0	0	0.258677793423045	0	0.902959705498144	0.524430175554108
S56	0.0184537290176904	0	0	0.16123482140892	0	0	0.0524492164559762	0	0	0	0.297419125129493	0	0.0333764505989528	0.00024194727320977	0	0	0	0	0.0181907754358051	0	0	0.418633934679953	0	0.879286221605074	0.501339418044164
S57	0.0366017753224238	0	0	0.242362419190176	0	0	0	0	0.0435288673869314	0	0.238091461137792	0	0.0629393621881896	0	0	0.00318825347599567	0	0.00240355664017248	0.0167409402885267	0	0.00775455660733491	0.346388807762457	0	0.909005983065661	0.480877130419307
