Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
S1	0.0686225481836458	0	0.0323967084163209	0	0	0.16437658498484	0.0282401892687423	0.0234412084917733	0.0135325007113599	0	0.0623207190931909	0	0.0248685095398949	0.0465481146452575	0.0918501707898766	0	0	0.127849865712971	0	0.0210102226343798	0	0.294942657527748	0	0.742983848201185	0.698466961305798
S2	0.0913752864101106	0	0.0117880745005699	0.0795668189309792	0	0.194800426946017	0.00942605228847829	0.0361761175265433	0	0.00842255212732107	0.0250326466759531	0	0	0	0.0541012277561855	0.00921656839489577	0	0.0419790744481733	0	0.0104288720467904	0	0.427686281947983	0	0.84403552697703	0.575366872893347
S3	0.0204457574336958	0	0.0153648381238946	0.025256705314211	0	0.129318956431809	0.0100433627089372	0.0174744156091344	0	0	0.0245985260632765	0	0	0	0.0640646897906732	0.010673379740877	0.0487426478693734	0.0337864885373587	0.0205969602350387	0	0.00704708564308219	0.572586186498638	0	0.869938001904692	0.505611647720579
S5	0.0181646605784977	0	0.0229892567801804	0	0	0.0759310585772075	0.000694014368948603	0.025866738535421	0	0.00317447426669916	0.0457803356595851	0	0	0	0.0254189634181774	0	0	0.0357292998649808	0	0.0334284674775445	0.00950670337809286	0.703316027094665	0	0.896815292750932	0.455074019846532
S6	0.057629016046074	0	0.000777254054752305	0.0485321892941495	0	0.152327966456393	0.0445623124357501	0.0121882870804968	0.0143400221385755	0	0.106049048395335	0	0	0.00244236417820075	0.145753365765347	0.00703293277260267	0.0164948378009184	0.0688430635302973	0	0.00354220006171581	0.0196251553362032	0.299859984653189	0	0.710135255040526	0.718343863403369
S7	0.0305182122520237	0	0.0561375834678781	0.00395865932634872	0	0.350386789968953	0	0.0627758560866443	0.0197891565709083	0	0.0862143929100438	0	0.036422231099685	0.0307400130029393	0.0871406040649681	0.0346400055767057	0.0277174942554251	0.015006080138166	0.0779605766618714	0	0.00442020999198582	0.0761721346254534	0	0.466935863522671	0.884215907753507
S8	0.031969597301666	0	0.0287618703525647	0.263480595484157	0	0.131718404885613	0.0887958492104823	0.0389510184860054	0	0	0.0642438627071295	0	0.052211003890208	0.051902756687494	0.113007418737052	0.0102892229645607	0.0350432455710496	0	0	0.0116040952344663	0.00192096823374663	0.0761000902538041	0	0.755934893926838	0.709152455318937
S9	0.0289360789535452	0	0.0147257005678343	0.0369445780680032	0	0.263909477030038	0	0.045753176533492	0.0447204638109861	0.00373467745278211	0.0597953348601025	0.0116746286048639	0.0598050426590421	0.0526125912091374	0.147839175072849	0.0217302377978197	0.00481079124255225	0.0557453120533937	0.0673113779629183	0	0.00725634436653284	0.0726950117541081	0	0.564948040594737	0.829781758688088
S10	0.0493682003819897	0	0.0222200828982273	0.188924835055282	0	0.178564801867569	0.0595393131028028	0.0301745068921189	0.0284434836561197	0	0.111540960689863	0	0.0585051384505608	0.0225036838163839	0.0820626684137275	0.0227599444102749	0.014265494466911	0.013266002728005	0.0158795055609138	0	0	0.101981377609251	0	0.660097097840815	0.771767997239432
S11	0.00781690758075034	0.00314734369724543	0	0	0	0.0433343712687795	0	0.0265209285185745	0.0210992151079175	0.00321541286558585	0	0.0627937092864597	0	0	0.0303165715262048	0	0	0.0223687712380127	0	0.155607821890102	0.02505182510791	0.598727121912457	0	0.804762835602387	0.602799305012929
S12	0.0363389054240826	0	0	0.0165197305338665	0	0.104452257841891	0.00579632085236331	0.0200522323180899	0	0.0104090428763255	0.0377562288097834	0	0	0.00324815003364115	0.0691027368896201	0.0208074725091672	0	0.0156944809840053	0	0.0288385872052938	0.0272196009255627	0.603764252796308	0	0.893721076833443	0.461635120820268
S13	0.0685602349625112	0	0.0101255756345106	0.0895000770514726	0	0.194564071180044	0.0479298590065575	0.0353889210469712	0.0027466125227975	0	0.0860147193744108	0	0	0.0372628591688666	0.079692093650553	0.027290304898894	0.0206311837592425	0.0787641526184351	0.00415282448009929	0.0132882721176934	0	0.20408823852694	0	0.785574266094033	0.688384606888501
S14	0.0278076741103997	0	0.0138998821618066	0.139479276763938	0	0.209530279497683	0.0525917035183445	0.0371340272323267	0.0193609506939973	0	0.0823198413969668	0	0.0425482520904704	0.01132359691812	0.079693719148782	0.0707657884978426	0.0619534554566452	0.0827948307586287	0.00948973142804387	0	0.00454403882137342	0.0547629515046304	0	0.668043221737091	0.774734224384014
S15	0.023429582315599	0	0.0127541555405829	0.0941622651647544	0	0.147687295386135	0.0486965964482649	0.0105126280678507	0.0143070414302477	0	0.054632703459615	0.0171011818630954	0.018428169373061	0.0253535934490553	0.134466612144713	0.0625917017467061	0.0219817409101806	0.0697725515949022	0.126317093567626	0	0.028367871377976	0.0894372161596346	0	0.628538444747922	0.796946831857674
S16	0	0.000214615618887147	0.00046779879492317	0.00914344033804331	0	0.103445247422466	0.0260257634118235	0	0	0	0.0371165012830182	0	0	0	0.00410842985584034	0.0420769831875748	0.0195122327851968	0.0649856776335226	0.0869353263412982	0	0.0609824306349069	0.544985552692499	0	0.887642222310616	0.480545373140798
S17	0.0190635738960265	0	0.0070082136501898	0.150060765302988	0	0.155267237123487	0.0335105615636737	0.0231208880753072	0.0725634982755677	0	0.0702683178397906	0.0326567267938695	0.0516660665111026	0.0274717126310204	0.06490773393755	0.00211807198562074	0.0229386106758119	0.0217147922766547	0.00935599408378492	0.00275760213130906	0.00385073740100073	0.229698895845244	0	0.742022430359108	0.70539250887328
S18	0.0430626344029078	0	0.0152785764782672	0.0748903241701172	0	0.286978465574278	0.0155963201393883	0.0201341395722416	0.0106225564598131	0	0.0663336884537556	0	0	0.0323484438331776	0.0982457654444445	0.0803521768838288	0.0208075451415488	0.0269559251388592	0.0451805966106004	0	0	0.163212841696772	0	0.739778425558445	0.726762219964234
S19	0.0202039801992491	0	0.00229692159314562	0.00933458360656924	0	0.188187260254485	0.0236369519453576	0.00455984126885981	0	0.0272235475997155	0.0336583379460267	0	0.0372245000570821	0.00845243481523912	0.0419277047388638	0	0.0182367872663632	0.0973093449089036	0.095147611246815	0	0.0551397728003862	0.337460419752938	0	0.742924584524884	0.69292189598027
S21	0	0.0160028237814463	0	0	0.0241340684665891	0.00430450719656228	0	0	0	0.0085344264165935	0.011867422236128	0	0	0	0	0.0127807754142148	0	0.0127631876106763	0	0.0162211307478165	0	0.893391658129973	0	0.902338568862654	0.522885514884872
S22	0.0106612672150248	0	0	0	0.0354612151438583	0	0.00681311100448944	0.0146376233513244	0	0	0.0389639613052144	0	0	0	0.0164512321030191	0	0	0.0185925965890277	0	0.0687097764352127	0	0.789709216852829	0	0.83606350975896	0.598266053247346
S23	0.00564328988774968	0	0	0.0274214006509184	0	0.114508068059376	0.0184754426743221	0.0103011082727306	0	0	0.0245424873479925	0.00849349258005371	0	0	0.0248396045112404	0.00440606785430266	0.0164225138232402	0.0868414178592119	0.0261704626615584	0	0.119036283899253	0.51289835991805	0	0.82828171868576	0.570315736308327
S24	0.0234743471486577	0	0	0.0611934132614852	0	0.11645222823133	0	0.00351975696142194	0.0252335911286282	0	0	0.0311521166231338	0	0	0.0301926071208067	0.00665393578551161	0.0293935518015761	0.0840913195987256	0.0490318118680277	0	0.123061621874552	0.416549698596143	0	0.852998361091061	0.564241395617215
