"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GBP6",156.355862327271,2.24096797800906,0.354570662039543,6.32022955627147,2.61175034057393e-10,3.64339172510064e-06
"APOL4",82.2636930040346,2.1421915408797,0.351387447526124,6.09638038000898,1.08497068744937e-09,7.56767054495935e-06
"NRN1",101.965041247219,2.02485010942908,0.351648162012435,5.75817060393871,8.50303958836554e-09,3.95391340858998e-05
"SLC6A19",65.1626224591096,2.7820159694023,0.501062903538473,5.55222897116487,2.82049813093796e-08,9.83648723164612e-05
"VPS9D1",709.004430442178,1.07919794669595,0.201391526892704,5.3587058172061,8.38202110777712e-08,0.000224853259390565
"COL4A2",28.2813370608837,2.01511802902343,0.377872586563741,5.33279761664719,9.671107930777e-08,0.000224853259390565
"SEPTIN4",347.574769332491,1.86938981322397,0.352588049200643,5.30190917548706,1.14597854969241e-07,0.000228377153831558
"GBP5",12395.5912894347,1.23885062076174,0.240059166632775,5.16060535466594,2.46152589331169e-07,0.000408190555441402
"SORT1",1233.3768768103,1.12471922667908,0.220317454329102,5.10499374688223,3.3080545392757e-07,0.000408190555441402
"IL18RAP",1158.06006012113,1.46768259783465,0.288582220179738,5.08583861098766,3.66005192980484e-07,0.000408190555441402
"ADCY3",719.174199206521,1.59832482062772,0.31469697764555,5.07893285974914,3.7956080645865e-07,0.000408190555441402
"ATP1B2",36.4325825649076,1.68030700295099,0.331034913744431,5.07592079622222,3.85623913470983e-07,0.000408190555441402
"LHFPL2",570.977574820872,1.05194510454093,0.20755007330434,5.0683918718661,4.01190782116722e-07,0.000408190555441402
"FCGR1A",1007.23526187678,1.4980237869632,0.295793967686237,5.06441628502792,4.09653604027213e-07,0.000408190555441402
"MED12L",151.841095699482,1.01953297769827,0.203219198511288,5.0169126990314,5.2508412650953e-07,0.000488328237653863
"IL18R1",1307.61226638639,1.93706576005849,0.390849263540373,4.95604300878617,7.19432974726835e-07,0.000583906225740663
"GPR84",78.9417535800714,1.90444626397311,0.38456791877186,4.95217143971621,7.33899025577758e-07,0.000583906225740663
"MAOB",7.4209403154133,2.24801579324558,0.455364392807396,4.93674039681977,7.94391013041822e-07,0.000583906225740663
"RGS16",36.2399174164332,1.4654597113088,0.296860823383501,4.9365210761261,7.95284465166494e-07,0.000583906225740663
"PHTF1",585.631020231801,1.06297544387666,0.216502615433908,4.90975798027325,9.11888642096788e-07,0.00063604232786251
"BEND7",49.8875220635026,1.74550025405137,0.356581501513197,4.89509480061116,9.82583501280598e-07,0.00065271618299354
"PSTPIP2",1222.16046741609,1.1639860081342,0.23900068569678,4.87022037087773,1.11473853953266e-06,0.000706845573930935
"MAP3K20",429.311903603869,1.29816905551843,0.267249250930112,4.8575217741505,1.18864069687927e-06,0.000710684827720948
"PFKFB2",519.231577165406,1.57343394370727,0.324290601689733,4.85192582057206,1.22268357457367e-06,0.000710684827720948
"STOM",2472.49657147199,0.8556432474384,0.177018267770142,4.83364377144088,1.34056381883431e-06,0.000714243874770916
"DUSP3",758.421674966265,0.932746191073341,0.193126074895283,4.82972685888789,1.36720466815756e-06,0.000714243874770916
"RETSAT",332.043319037066,0.523505417602562,0.108441796114365,4.82752440812085,1.38240749955661e-06,0.000714243874770916
"POLB",339.99331122949,0.663242278014893,0.138262416744348,4.79698166452025,1.61074339236079e-06,0.000786573575625023
"CD274",1008.3363364056,1.49090522138784,0.310996289181311,4.79396466534248,1.63517087405919e-06,0.000786573575625023
"AIM2",612.408471320718,1.15049959950588,0.241377699523441,4.76638729168993,1.8755857104166e-06,0.000846450249329507
"SCARF1",2298.76001576989,1.57681775493765,0.330860658185806,4.76580613598408,1.88100055406557e-06,0.000846450249329507
"MYOF",731.23612467289,1.18751947829236,0.250048970553324,4.74914763961854,2.04275776968216e-06,0.000890514715220817
"CD177",1556.5872780685,3.04318589188761,0.643038873518452,4.73250687821797,2.21763787347988e-06,0.00093745601015286
"ANKRD22",510.717964709381,1.72307474425581,0.364735249437631,4.72417937918682,2.31046414692521e-06,0.000947969848517842
"LIPF",4.98073694083685,2.16376925127657,0.459070357862321,4.71337173968767,2.43651111003699e-06,NA
"CNIH4",770.352480116894,0.851751720010155,0.180994622566594,4.70595041958644,2.52685930344939e-06,0.00100713392237483
"INSL3",46.3489070194424,1.30418953367664,0.278425796620923,4.68415480715065,2.81117489342545e-06,0.0010658910973398
"SHROOM4",24.973991261427,1.60139126501676,0.341958572919245,4.6829978594949,2.8270946667794e-06,0.0010658910973398
"BTBD19",124.073635396373,1.33322846451775,0.285067271348782,4.67689067990738,2.91257425087165e-06,0.00106922133683314
"GRB10",470.1542714752,1.82058521010385,0.39026349239096,4.66501542060721,3.0859389584105e-06,0.00107442830500068
"NAIP",1120.90292082324,1.35291669830732,0.290281398104636,4.66070753117856,3.15124240168056e-06,0.00107442830500068
"TIFA",530.445472248265,1.13592401442173,0.243745950065978,4.66027851586561,3.15781795734967e-06,0.00107442830500068
"KRT9",2.61719122456921,4.56336697927333,0.984231784082576,4.6364759328789,3.54399437759305e-06,NA
"NAP1L5",70.2767216792793,0.559712418480857,0.120960594415216,4.62722939802659,3.70589964315749e-06,0.00123088809576302
"ERLIN1",301.944297732654,0.889905345987038,0.193912607245265,4.58920829660892,4.44930281001638e-06,0.00144343660929601
"IFNAR2",1536.50393095023,0.41993358510382,0.09167984016583,4.58043539718488,4.64008932525624e-06,0.00145807308330375
"NUPR1",69.8458249973183,1.67302966488638,0.365482023092205,4.57759769066481,4.70346155904436e-06,0.00145807308330375
"LMTK2",1362.32633049262,0.907577315537602,0.198526492833774,4.57156776701593,4.8408868143402e-06,0.0014680515447836
"MMRN1",97.3708851824457,1.43878110218995,0.316100129637199,4.5516624869509,5.32236693281567e-06,0.00157972380239955
"PLCL2",1175.97375381927,0.349508296835305,0.0769034803585956,4.54476566217253,5.49964042900128e-06,0.0015983329996785
"CASP5",258.133117826976,1.33116501642717,0.293365262465197,4.53756864477126,5.69065098359599e-06,0.00162009349430947
"KAZN",193.844057756096,1.64844311322193,0.364059339007457,4.52795172818836,5.95581823455473e-06,0.00166167328744077
"PDCD1LG2",123.307774562275,1.29529612782551,0.286692969573667,4.51806031292539,6.24087092177547e-06,0.0017070617521327
"MMP8",338.269644420462,2.32581959610991,0.517591819709493,4.49354009770732,7.00488242127366e-06,0.00187919441878399
"LIMK1",734.226417881445,0.591986516005575,0.132014662255693,4.48424823341959,7.31714420628e-06,0.00192592757882276
"AK4",18.9606612238387,0.772377781096344,0.172537708041562,4.47657378704885,7.58504607712201e-06,0.00195947023658985
"SELP",150.856277736551,1.16545805878228,0.261470136714431,4.45732760699611,8.2987727302131e-06,0.00206403403224164
"ADAMTS2",112.317144484075,3.01629291597583,0.677412199571896,4.45266990745374,8.48090823536978e-06,0.00206403403224164
"NETO2",60.894370733085,0.602497990644225,0.135425323553001,4.44893152061349,8.62985230332453e-06,0.00206403403224164
"PCOLCE2",7.14075924749949,2.48261647029392,0.558059848426526,4.44865631758631,8.64091511765807e-06,0.00206403403224164
"OPLAH",309.351905821753,1.59279496273809,0.358490090110482,4.44306553145503,8.86861395658681e-06,0.00206403403224164
"APOL2",2093.1745291664,0.727569112115862,0.163761853293743,4.44284854795094,8.87756573007157e-06,0.00206403403224164
"NUCB1",1445.84418991114,0.778403874212174,0.175348265663636,4.43918775738197,9.02990158728519e-06,0.00206503487119063
"ELAPOR1",356.198283058506,1.54316213752201,0.348225699793976,4.43149985321302,9.35798768245764e-06,0.00210554722855297
"UGCG",719.409895834036,1.02370314852165,0.231784448982044,4.41661704664645,1.0025762250407e-05,0.00221999021259013
