"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CST1",293.075313337873,-6.47833824686422,0.82537995742519,-7.84891635492784,4.19647374137468e-15,7.0874245018077e-11
"CLC",77.474928411691,-4.31983379668735,0.741245915161187,-5.82780114983566,5.61624415470214e-09,4.74263737643822e-05
"LGALS12",19.7789057408895,-4.48891659007711,0.807184556145135,-5.56120227512131,2.67922440731021e-08,0.000150831403383541
"ITLN1",41.0824941804456,-4.58435560671569,0.902341781069997,-5.08050907415543,3.76424752687704e-07,0.00157203880447559
"SPIB",24.6242999580631,-1.90249811290628,0.378033757236729,-5.03261435384173,4.838358165063e-07,0.00157203880447559
"FETUB",27.1832070191288,-4.3980954935573,0.878732092527791,-5.00504707971412,5.58483795775566e-07,0.00157203880447559
"CEACAM21",36.9345393535638,-2.00291318952695,0.406274815060087,-4.92994671409972,8.22520487399548e-07,0.00198450693024157
"CD69",482.053682929864,-2.41635405091362,0.4948932306264,-4.88257648595269,1.04708603472326e-06,0.00221052950505515
"PTGDR2",21.2395660050967,-2.38623377053605,0.503725827850189,-4.73716779764909,2.16725713061751e-06,0.00406697840877767
"VSTM1",17.6072635979241,-3.65819760768088,0.789970979884725,-4.63079999244365,3.64255605949015e-06,0.00565643398016835
"CRISP2",13.4992769493378,2.84060319447694,0.615578264010185,4.61452809586197,3.93989477938463e-06,0.00565643398016835
"CLEC12A",307.426684811237,-2.7522147170074,0.596958368485148,-4.61039640668992,4.01901875552254e-06,0.00565643398016835
"CEBPE",17.6935843843604,-2.73627071750916,0.601119277370835,-4.55195968673142,5.31485211719455e-06,0.00690481056979221
"CCR3",105.617740029476,-2.81894701936973,0.630772681334397,-4.46903790031975,7.85722090959673e-06,0.008703959200993
"SHISA2",1043.94478596787,1.31188577318699,0.293627715363954,4.46785403605683,7.90081839675549e-06,0.008703959200993
"ZNF366",44.9918171241343,-0.958517870361646,0.214976954975504,-4.45870056383889,8.24580183645497e-06,0.008703959200993
"TPSAB1",156.17232960902,-2.49099140456287,0.57604130711367,-4.32432774143282,1.52997698321328e-05,0.0151998713349935
"PPP1R16B",601.476384542356,-0.953630195557354,0.22131154650267,-4.30899431424763,1.63998583836426e-05,0.0153876226800744
"TESPA1",30.2252460725332,-1.02091939133632,0.238931975095011,-4.27284540267308,1.92994269303454e-05,0.0171551590224528
"CISH",230.640171953599,-1.38362856604567,0.325406280122513,-4.25200326657722,2.11866769416098e-05,0.0178159027020478
"CD1B",4.41468229097636,-2.57309518009725,0.606574289649512,-4.24201161177475,2.21525227510808e-05,0.0178159027020478
"ADAM19",448.587549519905,-1.21990634426745,0.289316899185347,-4.21650566455827,2.48117057691109e-05,0.018620067328535
"SIGLEC6",34.0843553503881,-1.34486556130828,0.31932454773664,-4.2115946639262,2.53574248656703e-05,0.018620067328535
"PRSS33",16.3242089499582,-2.48710510827275,0.601591315228368,-4.13421046034986,3.56176971702938e-05,0.0250644703128788
"SLC9A3",1468.65652874221,-2.30461434161838,0.559613468106508,-4.11822529828706,3.81801334276396e-05,0.0254324682250281
"SORD",928.032655566515,1.54270969621224,0.375458311786259,4.10887080611621,3.97598411770004e-05,0.0254324682250281
"OTOF",219.45217847076,-2.34343559737911,0.571445745441361,-4.10088904515186,4.11565874730448e-05,0.0254324682250281
"CLEC12B",16.4668403437522,-2.26361934246689,0.553120260910493,-4.09245421373778,4.26831541656259e-05,0.0254324682250281
"GAS1",126.318280684683,1.12697298335927,0.276224792496472,4.07991249870761,4.50526563403208e-05,0.0254324682250281
"BTNL8",69.5093825920279,-2.41998923890576,0.593239605073908,-4.07927794808013,4.51757976642101e-05,0.0254324682250281
"RFTN1",245.494918040517,-0.515528905358666,0.127522383123964,-4.04265425982139,5.28495206524614e-05,0.0284703498854072
"FHL3",146.854998379958,-1.15119798022212,0.285101762926527,-4.03784939245988,5.39434659442851e-05,0.0284703498854072
"NMNAT2",18.1934815900355,0.86686865413807,0.215775034161203,4.01746503022422,5.88275618654644e-05,0.02989392946233
"POSTN",224.339014092371,-2.47402246798315,0.61664016487107,-4.01210075003861,6.01808041754527e-05,0.02989392946233
"IFIT2",4927.80221200728,-2.05044523917434,0.51239747591469,-4.00166928128219,6.2897171648188e-05,0.0303505809133213
"ZBTB16",274.205803401271,1.37542309030051,0.346628489422225,3.96800358964469,7.24772425041529e-05,0.0334578333009171
"FABP6",41.9381768484305,1.81167446867097,0.456880154439893,3.96531661764116,7.32985867803856e-05,0.0334578333009171
"RSAD2",7741.85968511484,-2.1618307721724,0.54621525925066,-3.95783665058748,7.56316494500687e-05,0.0336142875674266
"CCR7",48.6111246978646,-1.19778167204691,0.303685279970358,-3.94415452788435,8.00820089491246e-05,0.0344684424181986
"CASS4",378.971672303341,-2.13839960883795,0.542803279949053,-3.93954806065038,8.16352476006834e-05,0.0344684424181986
"PER1",2246.58615097315,0.646468059754473,0.164381494182371,3.93273015901204,8.39865001779405e-05,0.0345962927196399
"DYDC1",27.9678259094786,2.01786622054926,0.51425421657443,3.92386908169805,8.71381010486999e-05,0.0350398902050355
