ensembl_gene_id_version	external_gene_name	gene_biotype
1	ENSG00000000457.14	SCYL3	protein_coding
2	ENSG00000000460.17	C1orf112	protein_coding
3	ENSG00000000938.13	FGR	protein_coding
4	ENSG00000000971.17	CFH	protein_coding
5	ENSG00000001460.18	STPG1	protein_coding
6	ENSG00000001461.17	NIPAL3	protein_coding
7	ENSG00000004455.18	AK2	protein_coding
8	ENSG00000004487.18	KDM1A	protein_coding
9	ENSG00000006555.11	TTC22	protein_coding
10	ENSG00000007341.19	ST7L	protein_coding
11	ENSG00000007908.16	SELE	protein_coding
12	ENSG00000007923.17	DNAJC11	protein_coding
13	ENSG00000007933.13	FMO3	protein_coding
14	ENSG00000007968.7	E2F2	protein_coding
15	ENSG00000008118.10	CAMK1G	protein_coding
16	ENSG00000008128.23	CDK11A	protein_coding
17	ENSG00000008130.15	NADK	protein_coding
18	ENSG00000009307.17	CSDE1	protein_coding
19	ENSG00000009709.12	PAX7	protein_coding
20	ENSG00000009724.18	MASP2	protein_coding
21	ENSG00000009780.16	FAM76A	protein_coding
22	ENSG00000009790.15	TRAF3IP3	protein_coding
23	ENSG00000010165.20	METTL13	protein_coding
24	ENSG00000010803.17	SCMH1	protein_coding
25	ENSG00000010932.17	FMO1	protein_coding
26	ENSG00000011007.13	ELOA	protein_coding
27	ENSG00000011009.11	LYPLA2	protein_coding
28	ENSG00000011021.23	CLCN6	protein_coding
29	ENSG00000014914.21	MTMR11	protein_coding
30	ENSG00000016490.16	CLCA1	protein_coding
31	ENSG00000016602.9	CLCA4	protein_coding
32	ENSG00000018625.15	ATP1A2	protein_coding
33	ENSG00000020129.16	NCDN	protein_coding
34	ENSG00000020633.19	RUNX3	protein_coding
35	ENSG00000021852.14	C8B	protein_coding
36	ENSG00000023572.10	GLRX2	protein_coding
37	ENSG00000023902.14	PLEKHO1	protein_coding
38	ENSG00000023909.10	GCLM	protein_coding
39	ENSG00000024526.17	DEPDC1	protein_coding
40	ENSG00000025800.14	KPNA6	protein_coding
41	ENSG00000026751.17	SLAMF7	protein_coding
42	ENSG00000027644.5	INSRR	protein_coding
43	ENSG00000027869.12	SH2D2A	protein_coding
44	ENSG00000028137.19	TNFRSF1B	protein_coding
45	ENSG00000031698.13	SARS1	protein_coding
46	ENSG00000033122.21	LRRC7	protein_coding
47	ENSG00000034971.17	MYOC	protein_coding
48	ENSG00000036549.13	ZZZ3	protein_coding
49	ENSG00000037637.11	FBXO42	protein_coding
50	ENSG00000040487.13	SLC66A1	protein_coding
51	ENSG00000041988.16	THAP3	protein_coding
52	ENSG00000043514.17	TRIT1	protein_coding
53	ENSG00000044012.4	GUCA2B	protein_coding
54	ENSG00000047410.14	TPR	protein_coding
55	ENSG00000048707.15	VPS13D	protein_coding
