© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ATF6 (ATF6-alpha) activates chaperone genes	-0E00		1.00E-01	ATF6	
Abacavir ADME	-0E00	1.0	1.34E-01	BRSK2,NT5C2,PI4K2B,PIK3CB,PIK3R6,SLC22A1,STK16,STK3,STK33	
Acetone Degradation I (to Methylglyoxal)	-0E00		8.57E-02	CYP2J2,CYP2S1,POR	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	-0E00	0.0	6.35E-02	H2BC15,H3-3B,H3C1,H3C6	
Activation of NMDA receptors and postsynaptic events	-0E00	1.6666666666666667	1.07E-01	CAMKK1,KPNA2,MAPT,PRKAB2,PRKAG3,PRKAR2B,RAC1,TUBA1C,TUBA4A	
Activation of anterior HOX genes in hindbrain during early embryogenesis	-0E00	2.0	1.34E-01	ASH2L,CREBBP,EP300,H2BC15,H3-3B,H3C1,H3C6,KDM6A,KMT2D,PAGR1,PBX1,PKNOX1,POLR2A,POLR2J,RBBP4,RBBP7	
Activation of gene expression by SREBF (SREBP)	-0E00	1.3416407864998738	1.19E-01	CREBBP,FDFT1,PPARA,SMARCD3,TBL1X	
Activation of kainate receptors upon glutamate binding	-0E00		6.67E-02	GNG10,GNG7	
Activation of the pre-replicative complex	-0E00	-2.0	1.18E-01	MCM3,MCM8,POLE3,PRIM2	
Adenosine Nucleotides Degradation II	-0E00		5.88E-02	NT5C2	
Aggrephagy	-0E00		4.65E-02	TUBA1C,TUBA4A	
Agrin Interactions at Neuromuscular Junction	-0E00	0.3779644730092272	1.03E-01	ERBB2,ITGA4,PXN,RAC1,RAC2,RALB,RAP2B	
Airway Inflammation in Asthma	-0E00		1.21E-01	CCL2,IFNGR1,MMP9,OSM	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	2.0	1.05E-01	CCL2,CD70,CLCF1,IL15,LCN2,LIF,MMP8,MMP9,ORM1,OSM,TNFSF8	
Aldosterone Signaling in Epithelial Cells	-0E00	1.0690449676496976	1.27E-01	DNAJC13,DNAJC3,DNAJC5,DUSP1,HSPA6,HSPB1,ITPR1,ITPR2,KCNMA1,MAP2K2,NEDD4,PIK3CB,PIK3R6,PIP5K1A,PLCD1,PLCL2,PRKCD,RAF1,SGK1,SLC9A1,SOS2	
Allograft Rejection Signaling	-0E00		4.05E-02	FAS,FCER1G,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00		4.44E-02	CD79A,CD79B,CHUK,FAS,FCER1G,HLA-B,IL15,NFKB1,NFKB2,RELB,TLR1,TLR10,TLR2,TLR4,TLR5,TLR8	
Antiproliferative Role of Somatostatin Receptor 2	-0E00	0.0	1.22E-01	GNG10,GNG7,GUCY1B1,GUCY2C,MAP2K2,PIK3CB,PIK3R6,RALB,RAP2B	
Antiproliferative Role of TOB in T Cell Signaling	-0E00		1.99E-02	CCNA1,FCER1G,SMAD3	
