© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	nasal_5k_ipa - 2025-12-01 12:15 PM
Date	Mon Dec 01 09:15:07 PST 2025
Analysis ID	43063910

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed)

Canonical Pathways for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
3-phosphoinositide Degradation	-0E00		5.00E-03	PPP1R16B	
Acetylcholine Receptor Signaling Pathway	-0E00		5.21E-03	ADAM19	
Adrenomedullin signaling pathway	-0E00		5.15E-03	MAP2K6	
Allograft Rejection Signaling	-0E00		4.00E-03	GZMB	
Autoimmune Thyroid Disease Signaling	-0E00		3.98E-03	GZMB	
B Cell Receptor Signaling	-0E00		2.70E-03	MAP2K6	
CLEAR Signaling Pathway	-0E00		3.57E-03	RRAGB	
Cachexia Signaling Pathway	-0E00		2.78E-03	PHGDH	
Calcium Signaling	-0E00		4.69E-03	TNNC2	
Cell Cycle Checkpoints	-0E00		3.44E-03	WEE1	
Chaperone Mediated Autophagy Signaling Pathway	-0E00		2.35E-03	MMP12	
Cilia Biogenesis Signaling Pathway	-0E00		5.05E-03	TUBB4B	
Class I MHC mediated antigen processing and presentation	-0E00		2.62E-03	ZBTB16	
Cohesin Chromatin Regulation Pathway	-0E00		3.51E-03	PCDHA12	
Colorectal Cancer Metastasis Signaling	-0E00		3.77E-03	MMP12	
Communication between Innate and Adaptive Immune Cells	-0E00		2.15E-03	CCR7	
Cyclophilin Signaling Pathway	-0E00		4.17E-03	CD44	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00		4.46E-03	GZMB	
Dendritic Cell Maturation	-0E00		5.17E-03	CCR7,CD1B	
Eicosanoid Signaling	-0E00		3.64E-03	MAPKAPK3	
Estrogen Receptor Signaling	-0E00		2.48E-03	MMP12	
Expression and translocation of olfactory receptors	-0E00		2.46E-03	OR52M1	
GAIT Translation Signaling Pathway	-0E00		4.03E-03	CCR3	
Generic Transcription Pathway	-0E00		2.34E-03	ZNF157	
Glutaminergic Receptor Signaling Pathway (Enhanced)	-0E00		3.13E-03	SLC1A7	
Graft-versus-Host Disease Signaling	-0E00		4.12E-03	GZMB	
Hematoma Resolution Signaling Pathway	-0E00		3.97E-03	MMP12	
Hepatic Cholestasis	-0E00		4.63E-03	FABP6	
Hepatic Fibrosis Signaling Pathway	-0E00		4.88E-03	CCN2,MAP2K6	
Human Embryonic Stem Cell Pluripotency	-0E00		5.10E-03	MAP2K6	
ID1 Signaling Pathway	-0E00		4.95E-03	CCN2	
IL-12 Signaling and Production in Macrophages	-0E00		4.42E-03	MAP2K6	
IL-15 Signaling	-0E00		3.77E-03	GZMB	
ILK Signaling	-0E00		5.13E-03	MAP2K6	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00		4.94E-03	CD1B,SIGLEC6	
Insulin Secretion Signaling Pathway	-0E00		3.60E-03	SCNN1B	
Intra-Golgi and retrograde Golgi-to-ER traffic	-0E00		4.90E-03	TUBB4B	
Lipid Antigen Presentation by CD1	-0E00		4.69E-03	CD1B	
Mitotic Metaphase and Anaphase	-0E00		4.22E-03	TUBB4B	
Mitotic Prometaphase	-0E00		4.88E-03	TUBB4B	
Multiple Sclerosis Signaling Pathway	-0E00		4.76E-03	IRF4	
NRF2-mediated Oxidative Stress Response	-0E00		4.65E-03	MAP2K6	
Neurovascular Coupling Signaling Pathway	-0E00		4.50E-03	ENTPD4	
OX40 Signaling Pathway	-0E00		4.08E-03	TRAF5	
Orexin Signaling Pathway	-0E00		4.27E-03	PIP4K2A	
Pulmonary Healing Signaling Pathway	-0E00		5.05E-03	MMP12	
RAF/MAP kinase cascade	-0E00		3.80E-03	RASGRP3	
RAR Activation	-0E00		4.85E-03	HOXA3,ZBTB16	
RHO GTPase cycle	-0E00		2.22E-03	UBXN11	
Role of NFAT in Cardiac Hypertrophy	-0E00		4.46E-03	MAP2K6	
SLAMF Signaling Pathway	-0E00		3.90E-03	DOK2,TRAF5	
Sperm Motility	-0E00		4.03E-03	MAP2K6	
Stress Granule Signaling Pathway	-0E00		4.05E-03	MAP2K6	
T Cell Receptor Signaling	-0E00		2.62E-03	MAP2K6	
TCF dependent signaling in response to WNT	-0E00		4.26E-03	SFRP1	
TRIM21 Intracellular Antibody Signaling Pathway	-0E00		3.27E-03	IRF4	
Th17 Activation Pathway	-0E00		3.47E-03	IRF4	
GNRH Signaling	1.99E-01		5.26E-03	MAP2K6	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	2E-01		5.29E-03	PPP1R16B	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	2E-01		5.29E-03	PPP1R16B	
Acute Phase Response Signaling	2.07E-01		5.43E-03	MAP2K6	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	2.08E-01		5.46E-03	CCN2	
PPARα/RXRα Activation	2.08E-01		5.46E-03	MAP2K6	
Macrophage Alternative Activation Signaling Pathway	2.13E-01		5.56E-03	IRF4	
NOD1/2 Signaling Pathway	2.14E-01		5.59E-03	MAP2K6	
Tight Junction Signaling	2.14E-01		5.59E-03	CLDN3	
Signaling by the B Cell Receptor (BCR)	2.22E-01		5.75E-03	RASGRP3	
Xenobiotic Metabolism PXR Signaling Pathway	2.25E-01		5.81E-03	HS3ST3A1	
Ribonucleotide Reductase Signaling Pathway	2.26E-01		5.85E-03	WEE1	
Gαq Signaling	2.33E-01		5.99E-03	RGS18	
NF-κB Signaling	2.38E-01		5.42E-03	MAP2K6,TRAF5	
